text_type,classifier,classifier_name,use_hash,stopwords,analyzer_type,accuracy,training_time,precision,recall,f1
raw,SVM-Linear,Support Vector Machine (linear),False,Custom,stemmer,0.9865470852017937,11.341853141784668,0.9866710585554077,0.9865470852017937,0.9865123462432706
raw,SVM-Linear,Support Vector Machine (linear),True,Custom,stemmer,0.9775784753363229,8.919419765472412,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-Linear,Support Vector Machine (linear),False,Custom,lemmatizer,0.9820627802690582,11.075888872146606,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-Linear,Support Vector Machine (linear),True,Custom,lemmatizer,0.9775784753363229,7.925401210784912,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-Linear,Support Vector Machine (linear),False,Spacy,stemmer,0.9865470852017937,10.550987005233765,0.9866710585554077,0.9865470852017937,0.9865123462432706
raw,SVM-Linear,Support Vector Machine (linear),True,Spacy,stemmer,0.9775784753363229,8.156214952468872,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-Linear,Support Vector Machine (linear),False,Spacy,lemmatizer,0.9820627802690582,10.35434079170227,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-Linear,Support Vector Machine (linear),True,Spacy,lemmatizer,0.9775784753363229,7.365206003189087,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-Linear,Support Vector Machine (linear),False,Builtin,stemmer,0.9865470852017937,10.745331048965454,0.9866710585554077,0.9865470852017937,0.9865123462432706
raw,SVM-Linear,Support Vector Machine (linear),True,Builtin,stemmer,0.9730941704035875,8.176567077636719,0.9739295089139233,0.9730941704035875,0.9730472402943607
raw,SVM-Linear,Support Vector Machine (linear),False,Builtin,lemmatizer,0.9820627802690582,10.545322179794312,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-Linear,Support Vector Machine (linear),True,Builtin,lemmatizer,0.9775784753363229,7.417120933532715,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-Linear,Support Vector Machine (linear),False,NoStopwords,stemmer,0.9820627802690582,14.783720254898071,0.9823967847904975,0.9820627802690582,0.9819931755982518
raw,SVM-Linear,Support Vector Machine (linear),True,NoStopwords,stemmer,0.9551569506726457,12.495421171188354,0.956332139915209,0.9551569506726457,0.955116155250411
raw,SVM-Linear,Support Vector Machine (linear),False,NoStopwords,lemmatizer,0.9775784753363229,14.078582048416138,0.9782301832269802,0.9775784753363229,0.9775614441987126
raw,SVM-Linear,Support Vector Machine (linear),True,NoStopwords,lemmatizer,0.9461883408071748,11.436774969100952,0.9477122753290312,0.9461883408071748,0.9462285335693923
raw,SVM-RBF,Support Vector Machine (rbf),False,Custom,stemmer,0.9775784753363229,19.061062812805176,0.9777870476587757,0.9775784753363229,0.9776354105998835
raw,SVM-RBF,Support Vector Machine (rbf),True,Custom,stemmer,0.9730941704035875,15.353057146072388,0.9738079985357372,0.9730941704035875,0.9731176261499441
raw,SVM-RBF,Support Vector Machine (rbf),False,Custom,lemmatizer,0.9820627802690582,18.590670108795166,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-RBF,Support Vector Machine (rbf),True,Custom,lemmatizer,0.9730941704035875,14.993494987487793,0.9740267451178218,0.9730941704035875,0.9731784693045137
raw,SVM-RBF,Support Vector Machine (rbf),False,Spacy,stemmer,0.9775784753363229,17.428564071655273,0.9777870476587757,0.9775784753363229,0.9776354105998835
raw,SVM-RBF,Support Vector Machine (rbf),True,Spacy,stemmer,0.9775784753363229,14.114226818084717,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-RBF,Support Vector Machine (rbf),False,Spacy,lemmatizer,0.9820627802690582,17.067702054977417,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-RBF,Support Vector Machine (rbf),True,Spacy,lemmatizer,0.9775784753363229,13.991300821304321,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-RBF,Support Vector Machine (rbf),False,Builtin,stemmer,0.9775784753363229,17.49349308013916,0.9777870476587757,0.9775784753363229,0.9776354105998835
raw,SVM-RBF,Support Vector Machine (rbf),True,Builtin,stemmer,0.9775784753363229,14.093336820602417,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-RBF,Support Vector Machine (rbf),False,Builtin,lemmatizer,0.9820627802690582,16.949133157730103,0.9823807582551977,0.9820627802690582,0.9820782683128048
raw,SVM-RBF,Support Vector Machine (rbf),True,Builtin,lemmatizer,0.9775784753363229,13.885909080505371,0.9782923034684726,0.9775784753363229,0.9776088504165091
raw,SVM-RBF,Support Vector Machine (rbf),False,NoStopwords,stemmer,0.9775784753363229,24.293041944503784,0.978115199904547,0.9775784753363229,0.9776478872008093
raw,SVM-RBF,Support Vector Machine (rbf),True,NoStopwords,stemmer,0.9596412556053812,14.60540223121643,0.9604135210432061,0.9596412556053812,0.959686754080118
raw,SVM-RBF,Support Vector Machine (rbf),False,NoStopwords,lemmatizer,0.9820627802690582,23.485812187194824,0.9823858130123694,0.9820627802690582,0.9821208828247383
raw,SVM-RBF,Support Vector Machine (rbf),True,NoStopwords,lemmatizer,0.9551569506726457,13.562826871871948,0.9560061379854893,0.9551569506726457,0.9551857737516969
raw,SVM-Poly,Support Vector Machine (poly),False,Custom,stemmer,0.8295964125560538,19.779409885406494,0.889360956329397,0.8295964125560538,0.8319457967660052
raw,SVM-Poly,Support Vector Machine (poly),True,Custom,stemmer,0.9192825112107623,19.519948959350586,0.9297712689427752,0.9192825112107623,0.9189414395168554
